load average: 0.00, 0.00, 0.00
%Cpu(s):  9.1 us,  0.0 sy,  0.0 ni, 90.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
 
PID %CPU
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
10 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
23 0.0
24 0.0
25 0.0
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.0
59 0.0
67 0.0
69 0.0
82 0.0
83 0.0
84 0.0
144 0.0
145 0.0
146 0.0
264 0.0
265 0.0
275 0.0
507 0.0
512 0.0
514 0.0
535 0.0
539 0.0
546 0.0
559 0.0
670 0.0
676 0.0
719 0.0
728 0.0
739 0.0
1053 0.0
1054 0.0
1059 0.0
1060 0.0
1168 0.0
1169 0.0
1248 0.0
1251 0.0
2255 0.0
3268 0.0
3274 0.0
3276 0.0
3277 0.0
3287 0.0
3290 0.0
3327 0.0
3330 0.0
3333 0.0
3334 0.0
3335 0.0
3341 0.0
3342 0.0
3343 0.0
3344 0.0
3345 0.0
3689 0.0
3731 0.0
6188 0.0
6621 0.0
6957 0.0
11212 0.0
11559 0.0
11819 0.0
11821 0.0
11822 0.0
11834 0.0
11839 0.0
11851 0.0
11852 0.0
11853 0.0
11854 0.0
11855 0.0
